CREDIT_CARD_NUMBER,EXPIRY_DATE,SCORE,LIMIT,BALANCE_CREDIT,CUSTOMER_ID
5.11E+15,2027-12,445,$5784.49,$2063.35,57849
5.11E+15,2027-10,80,$5409.64,$1588.93,42148
5.11E+15,2027-09,793,$6741.52,$6467.90,99941
5.11E+15,2028-03,666,$7576.22,$8992.43,37152
5.05E+15,2027-08,754,$2165.41,$8746.74,40824
5.05E+15,2027-10,52,$9224.11,$967.98,82764
5.05E+15,2027-08,671,$8700.62,$7197.98,66412
5.11E+15,2027-08,887,$7076.39,$6772.19,71486
5.11E+15,2028-02,419,$6118.62,$5452.36,19623
5.05E+15,2027-04,396,$5893.52,$6957.34,63798
5.05E+15,2028-02,68,$9169.34,$2869.42,94474
5.11E+15,2027-09,450,$5201.51,$1582.70,12157
5.05E+15,2027-08,944,$9189.18,$89.64,36468
5.05E+15,2027-03,209,$9279.24,$7600.39,68068
5.11E+15,2027-04,671,$9738.07,$2062.02,64932
5.05E+15,2028-03,156,$5310.66,$2479.51,27260
5.05E+15,2027-12,443,$2524.32,$176.45,74289
5.11E+15,2027-08,907,$7997.98,$4882.53,97280
5.05E+15,2027-08,563,$7738.32,$2800.75,69633
5.11E+15,2027-08,761,$7603.44,$1356.94,73890
5.11E+15,2027-09,446,$6447.90,$6326.25,66641
5.05E+15,2028-03,659,$5301.74,$9879.53,31971
5.05E+15,2027-10,81,$7479.45,$2431.64,28273
5.05E+15,2027-07,563,$1946.54,$6172.69,65405
5.05E+15,2027-12,468,$5423.53,$4828.51,73579
5.05E+15,2027-07,20,$3085.95,$87.40,61312
5.05E+15,2028-03,989,$4620.05,$5779.38,43511
5.05E+15,2028-01,907,$7217.69,$1284.03,32871
5.11E+15,2027-04,645,$9802.75,$2154.62,24816
5.05E+15,2027-12,971,$1823.16,$8506.98,10271
5.11E+15,2027-12,412,$1044.85,$5442.05,19384
5.05E+15,2028-02,203,$2797.84,$9332.36,34703
5.11E+15,2028-01,184,$2477.91,$5961.44,79986
5.05E+15,2027-11,531,$5157.19,$6214.80,84948
5.05E+15,2028-01,730,$9024.98,$8729.07,39848
5.05E+15,2028-01,987,$2123.14,$5601.09,45853
5.05E+15,2027-08,361,$7803.26,$6525.45,47192
5.05E+15,2027-07,452,$9811.89,$4015.56,63610
5.11E+15,2028-03,502,$9482.10,$9766.27,51222
5.11E+15,2027-09,763,$3839.11,$2550.24,99808
5.11E+15,2027-04,662,$5340.77,$9632.19,81386
5.11E+15,2028-01,570,$8692.94,$9284.40,57714
5.05E+15,2027-10,105,$9033.40,$1746.22,97808
5.11E+15,2027-10,131,$6629.21,$3395.16,96243
5.05E+15,2028-01,132,$8904.98,$2559.40,32573
5.05E+15,2028-03,804,$1138.49,$3521.04,45857
5.11E+15,2027-05,138,$9478.25,$883.08,66902
5.11E+15,2027-10,216,$7954.45,$4950.82,40761
5.05E+15,2027-09,861,$3625.56,$4898.44,20948
5.11E+15,2027-07,12,$6292.52,$6552.60,93147
5.11E+15,2027-11,447,$4497.62,$9875.83,10538
5.05E+15,2027-08,869,$8263.89,$1929.85,91059
5.05E+15,2027-10,953,$8226.93,$6830.92,22858
5.05E+15,2027-08,742,$7788.14,$1120.39,11341
5.11E+15,2028-02,103,$2684.64,$5809.88,48478
5.05E+15,2027-10,234,$1433.67,$2934.78,38956
5.05E+15,2027-07,178,$9692.98,$976.48,91271
5.05E+15,2027-12,478,$7358.11,$2462.34,26275
5.11E+15,2028-02,194,$8755.28,$4372.36,31569
5.05E+15,2027-06,503,$5947.05,$4887.54,50879
5.11E+15,2028-01,958,$7603.39,$2138.86,58976
5.11E+15,2027-11,203,$8574.01,$4412.34,35210
5.11E+15,2028-02,516,$3689.36,$1342.98,19413
5.05E+15,2027-12,330,$8453.80,$5051.50,60192
5.05E+15,2027-08,700,$7693.27,$593.17,25648
5.11E+15,2028-01,269,$5955.91,$972.60,14908
5.05E+15,2027-04,339,$1135.55,$2170.87,75426
5.11E+15,2028-03,47,$5555.52,$9993.84,51195
5.11E+15,2027-04,101,$8696.10,$9908.79,99825
5.11E+15,2027-05,591,$9224.71,$5201.12,71873
5.11E+15,2027-04,896,$5260.73,$1654.51,98858
5.11E+15,2028-01,283,$4196.65,$8099.63,93222
5.05E+15,2027-10,40,$5489.85,$1976.07,27573
5.05E+15,2027-10,149,$2635.39,$743.01,30488
5.05E+15,2027-08,781,$8011.33,$2142.54,84920
5.05E+15,2027-06,868,$2104.75,$1799.38,76342
5.11E+15,2027-06,97,$9456.94,$9307.29,40249
5.11E+15,2027-05,780,$6974.27,$4376.91,82366
5.11E+15,2028-02,311,$4130.40,$9208.61,25910
5.05E+15,2027-09,545,$5432.49,$1699.67,47555
5.05E+15,2027-07,109,$6620.75,$9917.38,57644
5.11E+15,2027-07,683,$9322.39,$6274.34,58311
5.11E+15,2027-05,249,$9205.93,$161.88,45947
5.11E+15,2027-08,969,$1144.39,$9662.51,34254
5.05E+15,2027-08,310,$6337.99,$5172.17,74692
5.11E+15,2027-11,581,$3959.18,$5505.24,62829
5.11E+15,2027-06,895,$4550.06,$2358.16,35133
5.05E+15,2028-02,634,$6521.96,$8425.10,73342
5.05E+15,2027-10,747,$4537.67,$4312.18,94373
5.11E+15,2027-12,680,$1789.02,$2777.81,30300
5.05E+15,2027-07,163,$3391.95,$1603.36,87540
5.11E+15,2027-05,896,$6086.56,$80.43,47870
5.11E+15,2027-07,464,$4478.10,$7905.94,15619
5.11E+15,2027-12,429,$8311.79,$897.26,62839
5.11E+15,2027-07,253,$9783.21,$9451.30,40888
5.11E+15,2027-05,317,$3001.17,$5161.43,99614
5.05E+15,2027-05,745,$4443.45,$3054.56,53801
5.05E+15,2027-07,626,$8076.12,$7353.33,11337
5.11E+15,2028-01,354,$2411.46,$5640.84,83713
5.05E+15,2027-07,710,$9555.25,$1650.95,75151
