CUSTOMER_ID,CUSTOMER_NAME,CUSTOMER_ADDRESS,CUSTOMER_PHN_NO,INCOME,BRANCH_ID
57849,Yurik Willishire,ywillishire0@blogspot.com,(162) 9390959,$36583.20,2808
42148,Randall Guidera,rguidera1@unblog.fr,(797) 8232112,$184884.93,2946
99941,Rhody Dunlap,rdunlap2@hibu.com,(722) 2553515,$145246.43,2508
37152,Lars Normanton,lnormanton3@utexas.edu,(574) 1562580,$185846.18,3021
40824,Humphrey Wanne,hwanne4@hatena.ne.jp,(416) 8470677,$15520.25,4131
82764,Alfy Girk,agirk5@stumbleupon.com,(862) 5751839,$196591.82,2847
66412,Lanae Bestiman,lbestiman6@google.pl,(783) 2854746,$151168.59,4720
71486,Sim Houldey,shouldey7@jugem.jp,(903) 1123608,$114202.08,1252
19623,Nealy Morat,nmorat8@sogou.com,(838) 6830519,$35507.63,4826
63798,Ansel Ebbing,aebbing9@omniture.com,(484) 9548764,$18203.48,4999
94474,Daphna Rigmand,drigmanda@last.fm,(843) 7225740,$104431.94,2808
12157,Ashlie Matyushonok,amatyushonokb@hhs.gov,(499) 6384834,$128660.77,2946
36468,Blanch Vasyukhnov,bvasyukhnovc@umich.edu,(879) 2235588,$59938.06,2508
68068,Malinda Ilyinski,milyinskid@theglobeandmail.com,(952) 4746072,$135416.52,3021
64932,Elfrida Worwood,eworwoode@bizjournals.com,(401) 1626678,$42412.08,4131
27260,Mort MacRory,mmacroryf@ifeng.com,(778) 2831537,$7856.16,2847
74289,Jami Bastian,jbastiang@engadget.com,(920) 6943451,$182389.80,4720
97280,Zolly Gernier,zgernierh@spiegel.de,(278) 7290275,$128907.02,1252
69633,Jarvis Simpkin,jsimpkini@stanford.edu,(355) 5285640,$143082.86,4826
73890,Dollie Tansly,dtanslyj@youku.com,(436) 6278153,$3756.90,4999
66641,Hazel Camoletto,hcamolettok@miibeian.gov.cn,(294) 8211500,$195095.98,2808
31971,Kelwin Maggill'Andreis,kmaggillandreisl@soup.io,(312) 3782378,$88840.39,2946
28273,Kissiah Conlaund,kconlaundm@lycos.com,(409) 7637296,$91975.45,2508
65405,Wini Balf,wbalfn@i2i.jp,(413) 8459198,$38231.94,3021
73579,Willey Follit,wfollito@i2i.jp,(515) 9065733,$66097.87,4131
61312,Willette de Tocqueville,wdep@timesonline.co.uk,(570) 9771543,$120136.22,2847
43511,Melisse Rothwell,mrothwellq@wikia.com,(955) 8343392,$162034.92,4720
32871,Everard Foresight,eforesightr@dyndns.org,(937) 5899298,$24383.36,1252
24816,Megen Nasi,mnasis@google.nl,(123) 5647843,$67659.02,4826
10271,Sophi Beedie,sbeediet@cnet.com,(245) 4851802,$85718.19,4999
19384,Darcey Duigenan,dduigenanu@qq.com,(647) 4049947,$13185.53,2808
34703,Mitch Campey,mcampeyv@wunderground.com,(962) 3370685,$62713.79,2946
79986,Stephen Scurrah,sscurrahw@constantcontact.com,(982) 1653050,$160745.71,2508
84948,Abbie Blenkin,ablenkinx@gmpg.org,(552) 7897322,$172390.09,3021
39848,Jessika Cranna,jcrannay@who.int,(775) 7751480,$60722.12,4131
45853,Mabelle Turnbull,mturnbullz@netvibes.com,(866) 6143258,$128698.62,2847
47192,Pamella Witz,pwitz10@answers.com,(538) 7772586,$139754.36,4720
63610,Knox Jull,kjull11@bbc.co.uk,(257) 3026560,$188838.10,1252
51222,Hestia Attersoll,hattersoll12@etsy.com,(677) 4151129,$39276.79,4826
99808,Walton Juarez,wjuarez13@umich.edu,(972) 3405858,$93011.26,4999
81386,Corine Wetherald,cwetherald14@studiopress.com,(250) 3190013,$67086.87,2808
57714,Davine Chesshire,dchesshire15@4shared.com,(371) 1473225,$65858.07,2946
97808,Neil Towhey,ntowhey16@squarespace.com,(892) 1656469,$15871.44,2508
96243,Bogey Maudett,bmaudett17@senate.gov,(414) 4248689,$32316.55,3021
32573,Jonell Silversmidt,jsilversmidt18@illinois.edu,(663) 7023556,$6594.14,4131
45857,Hayward Scoffham,hscoffham19@cyberchimps.com,(763) 6033679,$51936.67,2847
66902,Xena Banasik,xbanasik1a@booking.com,(304) 4807038,$36161.55,4720
40761,Berti Helliker,bhelliker1b@macromedia.com,(350) 2485594,$199455.84,1252
20948,Early Scardifield,escardifield1c@sfgate.com,(205) 7750414,$127308.69,4826
93147,Elana Reddihough,ereddihough1d@livejournal.com,(165) 2854796,$108539.02,4999
10538,Terri Forsythe,tforsythe1e@businessweek.com,(982) 2781740,$100629.71,2808
91059,Ced Hoggan,choggan1f@tuttocitta.it,(554) 7897067,$51079.39,2946
22858,Toni Lenthall,tlenthall1g@canalblog.com,(554) 3082667,$76483.65,2508
11341,Camile McTague,cmctague1h@zimbio.com,(415) 4468737,$107992.73,3021
48478,Vinson Belcham,vbelcham1i@senate.gov,(341) 1488374,$86338.92,4131
38956,Haily Wanderschek,hwanderschek1j@sitemeter.com,(375) 4559940,$16479.79,2847
91271,Bili Gregoraci,bgregoraci1k@ow.ly,(142) 4711610,$113348.44,4720
26275,Minny McCardle,mmccardle1l@chronoengine.com,(841) 7128525,$12171.02,1252
31569,Adrienne Seemmonds,aseemmonds1m@army.mil,(299) 8744420,$155997.22,4826
50879,Hanson Penkethman,hpenkethman1n@com.com,(752) 6245035,$65271.53,4999
58976,Lainey Lawman,llawman1o@4shared.com,(964) 5819414,$41709.42,2808
35210,Marijo Orrell,morrell1p@jugem.jp,(547) 4591719,$35284.65,2946
19413,Dew Meegan,dmeegan1q@businesswire.com,(164) 1445621,$59323.26,2508
60192,Agna Discombe,adiscombe1r@arizona.edu,(260) 7649788,$117850.58,3021
25648,Boycie O'Donegan,bodonegan1s@icio.us,(644) 1181786,$104766.82,4131
14908,Willard Trengove,wtrengove1t@adobe.com,(723) 1346650,$158636.99,2847
75426,Licha Fitzroy,lfitzroy1u@theguardian.com,(762) 3887918,$38737.58,4720
51195,Mag Laity,mlaity1v@istockphoto.com,(762) 8513589,$44168.10,1252
99825,Wren Neasam,wneasam1w@biglobe.ne.jp,(941) 2063460,$165147.24,4826
71873,Marrilee Boult,mboult1x@netlog.com,(291) 8790034,$121344.64,4999
98858,Susie Moyce,smoyce1y@wunderground.com,(857) 9408136,$138105.73,2808
93222,Madella Fitton,mfitton1z@walmart.com,(372) 3196247,$65238.43,2946
27573,Rem Fold,rfold20@cocolog-nifty.com,(940) 6448194,$36912.67,2508
30488,Alaine Shovelin,ashovelin21@livejournal.com,(754) 2304590,$1564.64,3021
84920,Margi Francklyn,mfrancklyn22@bloglovin.com,(470) 2069362,$51197.45,4131
76342,Tiena Dulake,tdulake23@fc2.com,(469) 5168863,$12869.10,2847
40249,Jillayne Wehner,jwehner24@tuttocitta.it,(741) 7036098,$167404.41,4720
82366,Layton Longdon,llongdon25@dagondesign.com,(466) 1464451,$147684.00,1252
25910,Bobina Bradnocke,bbradnocke26@time.com,(121) 5617895,$144785.26,4826
47555,Melesa Carrabot,mcarrabot27@reddit.com,(856) 2220853,$67461.52,4999
57644,Jocelyne Storrah,jstorrah28@acquirethisname.com,(750) 8459931,$43026.91,2808
58311,Holli Linggood,hlinggood29@opensource.org,(521) 2233688,$19389.11,2946
45947,Margalit Barford,mbarford2a@networksolutions.com,(190) 8798421,$166091.65,2508
34254,Huey Bande,hbande2b@blogger.com,(744) 1176438,$54394.39,3021
74692,Mariquilla Konzelmann,mkonzelmann2c@slate.com,(206) 5711628,$143184.72,4131
62829,Aluin MacAllen,amacallen2d@digg.com,(464) 1084633,$31447.95,2847
35133,Chic Ropkes,cropkes2e@dropbox.com,(724) 9068751,$30172.69,4720
73342,Koralle Helm,khelm2f@sina.com.cn,(415) 2252278,$141307.10,1252
94373,Corny Frayling,cfrayling2g@ted.com,(651) 3598930,$49025.49,4826
30300,Sollie Humphrys,shumphrys2h@over-blog.com,(564) 8988460,$123428.98,4999
87540,Siusan O'Hear,sohear2i@zimbio.com,(340) 5426463,$23526.60,2808
47870,Florence Kingdom,fkingdom2j@vkontakte.ru,(310) 9368818,$69730.82,2946
15619,Joey Wolfinger,jwolfinger2k@etsy.com,(863) 6354456,$191259.89,2508
62839,Trish Aspray,taspray2l@xrea.com,(313) 5803047,$153268.01,3021
40888,Shanta Carefull,scarefull2m@dion.ne.jp,(604) 5013045,$115479.05,4131
99614,Britney Astell,bastell2n@networksolutions.com,(940) 8166795,$33373.04,2847
53801,Coletta Bencher,cbencher2o@smh.com.au,(494) 7239233,$164886.56,4720
11337,Corine Sartain,csartain2p@mashable.com,(921) 1188098,$171384.34,1252
83713,Erie Lethlay,elethlay2q@github.io,(911) 8627212,$142882.22,4826
75151,Ricky Fenemore,rfenemore2r@pcworld.com,(894) 3067115,$190563.60,4999
