EMPLOYEE_ID,EMPLOYEE_NAME,EMPLOYEE_EMAIL,SALARY,BRANCH_ID
555,Tonia Schermick,tschermick0@cnbc.com,5358.86,2808
839,Derrick Bettenay,dbettenay1@netvibes.com,7313.88,2946
506,Sharyl Yankov,syankov2@elpais.com,7048.32,2508
714,Marcella Allbones,mallbones3@bizjournals.com,7148.82,3021
878,Desdemona MacParlan,dmacparlan4@bigcartel.com,9672.85,4131
595,Warde Bricknell,wbricknell5@rediff.com,7183.41,2847
108,Agosto Streak,astreak6@answers.com,6516.01,4720
892,Jacquenetta Murtagh,jmurtagh7@storify.com,4512.35,1252
669,Chaunce Clapham,cclapham8@woothemes.com,7688.28,4826
298,Melamie Simnor,msimnor9@blogtalkradio.com,4869.21,4999
358,Crichton McAlester,cmcalestera@dion.ne.jp,8294.44,2808
669,Frederique Ninnoli,fninnolib@vk.com,9481.85,2946
177,Rufe Beaufoy,rbeaufoyc@youku.com,9464.98,2508
786,Nikolos Proudler,nproudlerd@dell.com,6745.24,3021
676,Benyamin Saby,bsabye@bigcartel.com,5420.77,4131
629,Germain Eaklee,geakleef@liveinternet.ru,7465.05,2847
762,Valaria McCloughen,vmcclougheng@webs.com,5748.14,4720
736,Sondra McGilvary,smcgilvaryh@abc.net.au,7668.34,1252
331,Tawnya Szepe,tszepei@china.com.cn,9204.95,4826
662,Kikelia Edmunds,kedmundsj@chicagotribune.com,6315.1,4999
731,Juieta Benck,jbenckk@jalbum.net,7579.4,2808
389,Yehudi Shatliff,yshatliffl@nps.gov,4661,2946
887,Valene Vasiliu,vvasilium@printfriendly.com,6715.31,2508
968,Dinny Sainteau,dsainteaun@nhs.uk,9689.63,3021
724,Giffer Howsan,ghowsano@alibaba.com,5551.4,4131
375,Nicola Danjoie,ndanjoiep@blogspot.com,8674.36,2847
162,Bride Abbati,babbatiq@businessinsider.com,6964.02,4720
734,Milissent Soigne,msoigner@reverbnation.com,8450.01,1252
196,Caldwell Stollery,cstollerys@tripod.com,5045.96,4826
508,Hazel Harwin,hharwint@spotify.com,9504.38,4999
392,Anestassia Monkhouse,amonkhouseu@tumblr.com,5303.52,2808
584,Darsey Sture,dsturev@google.it,7843.42,2946
664,Kelwin Simounet,ksimounetw@unblog.fr,4119.11,2508
798,Hughie Beckinsale,hbeckinsalex@vinaora.com,4474.74,3021
470,Dickie Mallender,dmallendery@qq.com,9847.85,4131
646,Holmes Folini,hfoliniz@angelfire.com,6696.91,2847
111,Selie Gobolos,sgobolos10@arizona.edu,4111.02,4720
988,Frants Revie,frevie11@delicious.com,9835,1252
510,Minta Belding,mbelding12@tamu.edu,9581.21,4826
235,Hadlee Dekeyser,hdekeyser13@prweb.com,4802.56,4999
732,Krystle Nijs,knijs14@google.com,8724.6,2808
897,Brianna Ravelus,bravelus15@unc.edu,9861.47,2946
840,Koenraad Irnys,kirnys16@altervista.org,9924.46,2508
751,Brigida Smail,bsmail17@pbs.org,9290.23,3021
261,Lida Linthead,llinthead18@seattletimes.com,7288.33,4131
996,Hildagarde Labeuil,hlabeuil19@go.com,4160.34,2847
956,Hedwig Alvarado,halvarado1a@weibo.com,6657.39,4720
469,Jillene Kares,jkares1b@ucoz.com,7746.9,1252
908,Garnet Sibylla,gsibylla1c@cnet.com,6005.46,4826
761,Bink O' Sullivan,bo1d@arizona.edu,6014.76,4999
576,Rebbecca Maddrah,rmaddrah1e@yelp.com,4114.04,2808
948,Gui Huitt,ghuitt1f@discovery.com,9087.89,2946
286,Asher Carus,acarus1g@google.ca,8006.13,2508
155,Andree Hannabus,ahannabus1h@wsj.com,7851.36,3021
929,Karrie Blitz,kblitz1i@phpbb.com,6705.23,4131
349,Burnaby Kohter,bkohter1j@sbwire.com,6195.4,2847
711,Demott Houten,dhouten1k@apple.com,9900.17,4720
770,Jacinthe Massy,jmassy1l@google.com,7538.86,1252
563,Anders Wiltshire,awiltshire1m@booking.com,6226.7,4826
352,Adelle Aloigi,aaloigi1n@army.mil,6059.35,4999
830,Sidnee Raine,sraine1o@studiopress.com,6081.23,2808
675,Rosene Boumphrey,rboumphrey1p@narod.ru,5246.22,2946
348,Ross Thieme,rthieme1q@dailymail.co.uk,4062.71,2508
277,Barbabas Ruslen,bruslen1r@discovery.com,7423.1,3021
347,Bernie Hagston,bhagston1s@berkeley.edu,7459.45,4131
516,Powell Ducker,pducker1t@bbb.org,7244.53,2847
515,Dot Fingleton,dfingleton1u@usa.gov,7021.74,4720
112,Vic Liquorish,vliquorish1v@wunderground.com,6956.02,1252
998,Doti Goldsby,dgoldsby1w@tripadvisor.com,5181.29,4826
644,Myles Scargle,mscargle1x@hao123.com,8149.17,4999
670,Darlene Tolefree,dtolefree1y@skype.com,8188.15,2808
261,Garrek Chevins,gchevins1z@microsoft.com,7424.83,2946
325,Honor Cleaver,hcleaver20@delicious.com,4967.48,2508
399,Melvyn Oldroyd,moldroyd21@angelfire.com,4162.89,3021
766,August Debold,adebold22@hibu.com,4198.93,4131
633,Brook Richel,brichel23@networkadvertising.org,7471.48,2847
719,Hayyim Davis,hdavis24@nifty.com,6155.45,4720
118,Cirillo Heaphy,cheaphy25@abc.net.au,4097.01,1252
945,Susannah Gilmartin,sgilmartin26@ycombinator.com,7398.81,4826
916,Jasen Dickings,jdickings27@miibeian.gov.cn,8509.93,4999
843,Anna-diane Razzell,arazzell28@berkeley.edu,6973.51,2808
597,Herschel Kellett,hkellett29@who.int,5013.8,2946
555,Marline Dundin,mdundin2a@github.com,5481.91,2508
627,Marlon Moulds,mmoulds2b@sitemeter.com,7497.8,3021
571,Rutledge Odam,rodam2c@slideshare.net,9305.41,4131
431,Douglas Wasiel,dwasiel2d@google.fr,5246.79,2847
817,Andriette Predohl,apredohl2e@symantec.com,4320.08,4720
880,Rupert Steanson,rsteanson2f@slashdot.org,6443.4,1252
220,Milicent Noods,mnoods2g@usnews.com,7514.79,4826
363,Cecil Braham,cbraham2h@is.gd,7390.14,4999
782,Jonell Poure,jpoure2i@skyrock.com,9379.48,2808
995,Zackariah Rosendale,zrosendale2j@cyberchimps.com,9405.72,2946
756,Filia Yarrell,fyarrell2k@comsenz.com,8957.13,2508
957,Elbertina Arber,earber2l@1688.com,8335.5,3021
787,Delia Ahrens,dahrens2m@so-net.ne.jp,8920.26,4131
300,Colas Handrik,chandrik2n@auda.org.au,4514.9,2847
124,Harv Allgood,hallgood2o@mediafire.com,6186.83,4720
406,Claudio Hunting,chunting2p@opensource.org,6566.09,1252
100,Sharyl Meenehan,smeenehan2q@addthis.com,7877.04,4826
701,Rawley Forestel,rforestel2r@foxnews.com,8518.41,4999
