PAID_AMOUNT,DATE_OF_PAYMENT,CREDIT_CARD_NUMBER,CUSTOMER_ID
$3195.68,06/21/2023,5.11E+15,57849
$8771.47,08/24/2023,5.11E+15,42148
$4803.45,06-09-2023,5.11E+15,99941
$5005.26,05-05-2022,5.11E+15,37152
$5966.82,11/27/2022,5.05E+15,40824
$4342.90,06/29/2023,5.05E+15,82764
$9046.95,05-05-2022,5.05E+15,66412
$6393.66,12/14/2022,5.11E+15,71486
$1933.30,04-04-2023,5.11E+15,19623
$7555.10,03/25/2023,5.05E+15,63798
$3030.67,06/20/2022,5.05E+15,94474
$9536.30,07/24/2023,5.11E+15,12157
$9103.00,11/21/2022,5.05E+15,36468
$43.72,08/28/2023,5.05E+15,68068
$6843.01,11-01-2023,5.11E+15,64932
$3297.15,08-08-2022,5.05E+15,27260
$5591.59,02-01-2023,5.05E+15,74289
$5384.07,07/21/2022,5.11E+15,97280
$4997.33,04-02-2022,5.05E+15,69633
$8414.32,09-04-2022,5.11E+15,73890
$9774.39,03/27/2022,5.11E+15,66641
$809.24,08/18/2022,5.05E+15,31971
$187.87,02/23/2024,5.05E+15,28273
$5740.11,11/18/2023,5.05E+15,65405
$8416.14,10-04-2022,5.05E+15,73579
$1423.13,08-07-2022,5.05E+15,61312
$1926.70,11-06-2023,5.05E+15,43511
$3552.40,01-09-2024,5.05E+15,32871
$6024.27,10/15/2023,5.11E+15,24816
$6199.07,11-07-2023,5.05E+15,10271
$8710.40,01-08-2023,5.11E+15,19384
$8939.92,02/21/2024,5.05E+15,34703
$2656.72,04-07-2022,5.11E+15,79986
$6430.48,06-06-2023,5.05E+15,84948
$7236.30,06-07-2023,5.05E+15,39848
$1931.25,06/25/2023,5.05E+15,45853
$4189.04,02-08-2024,5.05E+15,47192
$1583.61,12-11-2022,5.05E+15,63610
$5292.10,07-09-2022,5.11E+15,51222
$7702.42,01/29/2024,5.11E+15,99808
$8158.63,12/22/2022,5.11E+15,81386
$5301.51,06-07-2023,5.11E+15,57714
$1305.95,01/22/2024,5.05E+15,97808
$6050.85,12/29/2022,5.11E+15,96243
$429.42,07/29/2022,5.05E+15,32573
$376.12,11/17/2022,5.05E+15,45857
$7409.44,10-08-2022,5.11E+15,66902
$1542.50,06/27/2022,5.11E+15,40761
$4561.86,11/28/2023,5.05E+15,20948
$1432.77,02-02-2023,5.11E+15,93147
$7673.35,02/27/2023,5.11E+15,10538
$9722.37,09-06-2022,5.05E+15,91059
$104.51,02-11-2023,5.05E+15,22858
$5124.26,08/22/2023,5.05E+15,11341
$9796.45,03/15/2024,5.11E+15,48478
$6360.36,01/28/2023,5.05E+15,38956
$4317.52,05/20/2023,5.05E+15,91271
$6976.72,11/25/2023,5.05E+15,26275
$9026.93,10/25/2023,5.11E+15,31569
$5311.98,10-07-2022,5.05E+15,50879
$8813.03,06-04-2022,5.11E+15,58976
$1661.19,07/16/2023,5.11E+15,35210
$2689.61,08/13/2023,5.11E+15,19413
$9827.72,09/18/2023,5.05E+15,60192
$4750.45,06-02-2023,5.05E+15,25648
$4594.58,07/19/2022,5.11E+15,14908
$2085.84,07/25/2023,5.05E+15,75426
$6106.09,08-02-2022,5.11E+15,51195
$6075.00,12-02-2023,5.11E+15,99825
$9624.84,05-05-2022,5.11E+15,71873
$4501.34,12-03-2022,5.11E+15,98858
$1075.23,02/19/2024,5.11E+15,93222
$944.38,11/22/2022,5.05E+15,27573
$9725.82,03-08-2023,5.05E+15,30488
$4210.05,06/25/2022,5.05E+15,84920
$3590.65,05/20/2022,5.05E+15,76342
$2228.93,01/15/2023,5.11E+15,40249
$1007.16,06/16/2022,5.11E+15,82366
$7717.62,04/22/2022,5.11E+15,25910
$7279.43,07-12-2022,5.05E+15,47555
$6765.01,01-12-2024,5.05E+15,57644
$6455.08,09/24/2022,5.11E+15,58311
$9417.87,09/15/2023,5.11E+15,45947
$2456.55,12-06-2022,5.11E+15,34254
$6786.88,10/31/2022,5.05E+15,74692
$7568.91,10/29/2022,5.11E+15,62829
$913.22,05/29/2022,5.11E+15,35133
$6092.88,08/31/2023,5.05E+15,73342
$581.93,01-02-2024,5.05E+15,94373
$4028.14,09/22/2022,5.11E+15,30300
$3919.82,04/22/2022,5.05E+15,87540
$8182.38,06-12-2022,5.11E+15,47870
$9978.93,07/31/2023,5.11E+15,15619
$3992.10,05-08-2022,5.11E+15,62839
$2419.47,05/25/2022,5.11E+15,40888
$7003.77,04/18/2022,5.11E+15,99614
$6464.89,12/16/2023,5.05E+15,53801
$3160.46,01/20/2024,5.05E+15,11337
$8750.12,06/24/2022,5.11E+15,83713
$8046.56,08/27/2023,5.05E+15,75151
